OfficeID,OfficeName,LanguageID,LanguageName,BookmarkName,Translation,OfficeElement
2,Antwerp,7,Dutch (Belgium),PartnerList, ,PartnerList
2,Antwerp,8,French (Belgium),PartnerList, ,PartnerList
3,Beijing,1,English (UK),PartnerList, ,PartnerList
4,Budapest,1,English (UK),PartnerList, ,PartnerList
4,Budapest,11,Hungarian,PartnerList, ,PartnerList
5,Bratislava,1,English (UK),PartnerList, ,PartnerList
5,Bratislava,3,Slovak,PartnerList, ,PartnerList
6,Brussels,1,English (UK),PartnerList, ,PartnerList
6,Brussels,6,German,PartnerList, ,PartnerList
6,Brussels,7,Dutch (Belgium),PartnerList, ,PartnerList
6,Brussels,8,French (Belgium),PartnerList, ,PartnerList
7,Dubai,1,English (UK),PartnerList, ,PartnerList
8,Frankfurt,1,English (UK),PartnerList, ,PartnerList
8,Frankfurt,6,German,PartnerList, ,PartnerList
9,Hong Kong - Law,1,English (UK),PartnerList, ,PartnerList
10,London,1,English (UK),PartnerList, ,PartnerList
10,London,2,French,PartnerList, ,PartnerList
10,London,4,Italian,PartnerList, ,PartnerList
10,London,6,German,PartnerList, ,PartnerList
12,Luxembourg Office,1,English (UK),PartnerList, ,PartnerList
12,Luxembourg Office,2,French,PartnerList, ,PartnerList
12,Luxembourg Office,6,German,PartnerList, ,PartnerList
13,Madrid,1,English (UK),PartnerList, ,PartnerList
13,Madrid,12,Spanish,PartnerList, ,PartnerList
15,Milan,1,English (UK),PartnerList,atPartnerListMLRM,PartnerList
15,Milan,4,Italian,PartnerList,atPartnerListMLRM,PartnerList
16,Moscow,1,English (UK),PartnerList, ,PartnerList
16,Moscow,13,Russian,PartnerList, ,PartnerList
17,New York,1,English (UK),PartnerList, ,PartnerList
17,New York,14,English (US),PartnerList, ,PartnerList
18,Paris,1,English (UK),PartnerList, ,PartnerList
18,Paris,2,French,PartnerList, ,PartnerList
19,Prague - Admin,1,English (UK),PartnerList, ,PartnerList
19,Prague - Admin,9,Czech,PartnerList, ,PartnerList
20,Prague - Law,1,English (UK),PartnerList, ,PartnerList
20,Prague - Law,9,Czech,PartnerList, ,PartnerList
21,Shanghai,1,English (UK),PartnerList, ,PartnerList
23,Tokyo,1,English (UK),PartnerList,atDisclaimerTY,PartnerList
25,Hong Kong - Admin,1,English (UK),PartnerList, ,PartnerList
26,Warsaw - Admin,1,English (UK),PartnerList, ,PartnerList
26,Warsaw - Admin,5,Polish,PartnerList, ,PartnerList
27,Warsaw - Law,1,English (UK),PartnerList, ,PartnerList
27,Warsaw - Law,5,Polish,PartnerList, ,PartnerList
28,Hamburg,1,English (UK),PartnerList, ,PartnerList
28,Hamburg,6,German,PartnerList, ,PartnerList
29,Rome,1,English (UK),PartnerList,atPartnerListMLRM,PartnerList
29,Rome,4,Italian,PartnerList,atPartnerListMLRM,PartnerList
30,Bangkok,1,English (UK),PartnerList, ,PartnerList
33,Singapore - ASSPL,1,English (UK),PartnerList, ,PartnerList
34,Düsseldorf,1,English (UK),PartnerList, ,PartnerList
34,Düsseldorf,6,German,PartnerList, ,PartnerList
35,Riyadh,1,English (UK),PartnerList, ,PartnerList
36,Abu Dhabi,1,English (UK),PartnerList, ,PartnerList
38,Munich,1,English (UK),PartnerList, ,PartnerList
38,Munich,6,German,PartnerList, ,PartnerList
40,Doha,1,English (UK),PartnerList, ,PartnerList
42,Athens,1,English (UK),PartnerList, ,PartnerList
42,Athens,16,Greek,PartnerList, ,PartnerList
43,São Paulo,1,English (UK),PartnerList, ,PartnerList
43,São Paulo,17,Portuguese (Brazil),PartnerList, ,PartnerList
45,Sydney - Admin,1,English (UK),PartnerList, ,PartnerList
45,Sydney - Admin,15,English (AUS),PartnerList, ,PartnerList
46,Perth - Admin,1,English (UK),PartnerList, ,PartnerList
46,Perth - Admin,15,English (AUS),PartnerList, ,PartnerList
47,Sydney - Law,1,English (UK),PartnerList, ,PartnerList
47,Sydney - Law,15,English (AUS),PartnerList, ,PartnerList
48,Perth - Law,1,English (UK),PartnerList, ,PartnerList
48,Perth - Law,15,English (AUS),PartnerList, ,PartnerList
49,Mannheim,1,English (UK),PartnerList, ,PartnerList
49,Mannheim,6,German,PartnerList, ,PartnerList
50,Jakarta,1,English (UK),PartnerList, ,PartnerList
50,Jakarta,14,English (US),PartnerList, ,PartnerList
54,A&O Holdings,1,English (UK),PartnerList, ,PartnerList
57,Belfast - Law,1,English (UK),PartnerList, ,PartnerList
58,Belfast - Admin,1,English (UK),PartnerList, ,PartnerList
59,"Washington, D.C.",14,English (US),PartnerList, ,PartnerList
61,Casablanca,1,English (UK),PartnerList, ,PartnerList
61,Casablanca,2,French,PartnerList, ,PartnerList
64,Singapore - AOA,1,English (UK),PartnerList, ,PartnerList
65,Singapore,1,English (UK),PartnerList, ,PartnerList
66,Istanbul - Admin,1,English (UK),PartnerList, ,PartnerList
67,Istanbul - Law,1,English (UK),PartnerList, ,PartnerList
68,Ho Chi Minh City,1,English (UK),PartnerList, ,PartnerList
68,Ho Chi Minh City,19,Vietnamese,PartnerList, ,PartnerList
69,Hanoi,1,English (UK),PartnerList, ,PartnerList
69,Hanoi,19,Vietnamese,PartnerList, ,PartnerList
1,Amsterdam,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
1,Amsterdam,10,Dutch,PartnerListDescLabel, ,PartnerListDescLabel
2,Antwerp,1,English (UK),PartnerListDescLabel, ,PartnerListDescLabel
